seg,proj,N,d,n_traj,n_tasks,auroc_base,auroc_chaos,auroc_full,delta_auroc,delta_ci_low,delta_ci_high,spearman_H_nfrag,frac_tasks_signif,median_effect_size,n_dropped_nan,n_fail,n_succ,base_cols,pr_auc_base,prec10_base,auroc_pooled_base,pr_auc_chaos,prec10_chaos,auroc_pooled_chaos,pr_auc_full,prec10_full,auroc_pooled_full,p_boot,spearman_H_nsteps_total,spearman_H_nsteps_prefix,frac_seen_median,n_tasks_both,majority_sign_share,share_positive,p_sign,n_tasks_3each,frac_tasks_signif_3each,median_effect_size_3each,n_tasks_both_C,frac_tasks_signif_C,median_effect_size_C,majority_sign_share_C,share_positive_C,p_sign_C,n_tasks_3each_C,frac_tasks_signif_3each_C,median_effect_size_3each_C,q_bh,q_sign,q_sign_C
all_sent,cos_task,200,3,300,226,0.5494662793347004,0.46288292211467086,0.5290503384561109,-0.020415940878589445,-0.04693727512253118,0.008205873706136176,0.08145234347293767,0.0,-1.0,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4220204765753735,0.37142857142857133,0.5304351971018638,0.39270998971022814,0.3904761904761905,0.40483340483340485,0.41078185800725925,0.3095238095238095,0.5170408503741837,0.9070929070929071,0.07864745805390409,0.01449000349862111,0.2677376171352075,18,0.6875,0.3125,0.210113525390625,0,,,18,0.0,1.0,0.6875,0.6875,0.210113525390625,0,,,0.9900099900099899,1.0,1.0
all_sent,cos_task,200,4,300,226,0.5494662793347004,0.46299939732028017,0.5375874620569018,-0.011878817277798603,-0.029783336434806996,0.0067342650046892764,0.10355676802063701,0.0,-1.0,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4220204765753735,0.37142857142857133,0.5304351971018638,0.37257252788465833,0.3095238095238095,0.397349730683064,0.41583793453076695,0.37142857142857133,0.5171838505171839,0.8951048951048951,0.0787245463606679,0.03267482476888935,0.2677376171352075,18,0.7647058823529411,0.23529411764705882,0.049041748046875,0,,,18,0.0,1.0,0.7647058823529411,0.7647058823529411,0.049041748046875,0,,,0.9900099900099899,1.0,0.8615944602272726
all_sent,cos_task,400,3,273,208,0.5131329034837807,0.38765781976308294,0.4840875693507273,-0.029045334133053435,-0.06084966686429303,-7.697104440518494e-06,0.05077512510406063,0.0,0.0,0,106,167,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4340619375023291,0.4066666666666666,0.49237374307987797,0.3493584558370927,0.2,0.3555530448536888,0.4070516741749361,0.38,0.46746130380747936,0.975024975024975,-0.02230439978481693,-0.1155958540217446,0.5012531328320802,17,0.5333333333333333,0.5333333333333333,1.0,0,,,17,0.0,0.0,0.5333333333333333,0.4666666666666667,1.0,0,,,0.9900099900099899,1.0,1.0
all_sent,cos_task,400,4,273,208,0.5131329034837807,0.5047498375568551,0.5148038186634678,0.0016709151796870936,-0.027856938939859917,0.03293429454186924,0.12309781547149852,0.0,-1.0,0,106,167,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4340619375023291,0.4066666666666666,0.49237374307987797,0.431917794358078,0.4533333333333333,0.43497909840695964,0.4377429155970015,0.4066666666666666,0.4937860128799006,0.46653346653346656,-0.011486350855122129,-0.1931563818018085,0.5012531328320802,17,0.7142857142857143,0.2857142857142857,0.1795654296875,0,,,17,0.0,1.0,0.6428571428571429,0.6428571428571429,0.4239501953125,0,,,0.9900099900099899,1.0,1.0
all_sent,norm,50,3,300,226,0.5141251221896382,0.4644024834814308,0.4919095576183862,-0.022215564571252067,-0.07258923206061334,0.03462124582042121,-0.017727289315174158,0.0,0.0,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3994057997818203,0.3285714285714285,0.46825396825396826,0.4018109091235148,0.4238095238095238,0.4284999284999285,0.41471894401370585,0.41904761904761906,0.4643691310357977,0.7772227772227772,-0.05888139082469011,-0.026588561802014167,0.06693440428380187,18,0.5,0.5,1.0,0,,,18,0.0,0.0,0.5,0.5,1.0,0,,,0.9900099900099899,1.0,1.0
all_sent,norm,50,4,300,226,0.5141251221896382,0.44400301523603736,0.4751692096810943,-0.038955912508543966,-0.09119591226134895,0.010564994459475587,-0.0842849465066001,0.0,0.5,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3994057997818203,0.3285714285714285,0.46825396825396826,0.36900634866653864,0.33809523809523806,0.3948710615377282,0.372128929621906,0.3238095238095238,0.4513561180227847,0.936063936063936,-0.10040105768210573,-0.006911445000482301,0.06693440428380187,18,0.6,0.6,0.6072387695312499,0,,,18,0.0,0.0,0.5333333333333333,0.5333333333333333,1.0,0,,,0.9900099900099899,1.0,1.0
all_sent,norm,100,3,300,226,0.5297853688473383,0.471809104873621,0.5238268508514689,-0.005958517995869439,-0.03115282814593063,0.02317060133565962,0.06410315529338605,0.0,1.0,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.43499107185712704,0.3666666666666666,0.5110825110825111,0.37219586181134706,0.3,0.41658324991658324,0.42758240509079376,0.30476190476190473,0.4952094952094952,0.6963036963036963,-0.0530726047673386,-0.21500402102340085,0.13386880856760375,18,0.7333333333333333,0.7333333333333333,0.11846923828124999,0,,,18,0.0,-1.0,0.7333333333333334,0.26666666666666666,0.11846923828124999,0,,,0.9900099900099899,1.0,0.8615944602272726
all_sent,norm,100,4,300,226,0.5297853688473383,0.4834199134199134,0.5292913919696601,-0.0004939768776781595,-0.05266308433376548,0.04755746851424283,0.052322790003957356,0.0,0.5,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.43499107185712704,0.3666666666666666,0.5110825110825111,0.38980138389259844,0.32857142857142857,0.4422517755851089,0.42331242957332227,0.37142857142857133,0.5116545116545117,0.5314685314685315,-0.04444754622530514,-0.17065056225149206,0.13386880856760375,18,0.5294117647058824,0.5294117647058824,1.0,0,,,18,0.0,0.5,0.5294117647058824,0.5294117647058824,1.0,0,,,0.9900099900099899,1.0,1.0
all_sent,norm,200,3,300,226,0.5494662793347004,0.49831190880426873,0.5358141321044547,-0.01365214723024566,-0.05775456257973748,0.03792058757396216,0.038794227989085925,0.0,-0.5,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4220204765753735,0.37142857142857133,0.5304351971018638,0.4334024117469342,0.4523809523809524,0.4425854425854426,0.4299683894962357,0.4619047619047619,0.5138948472281806,0.6933066933066933,-0.08081821473046595,-0.18055367519033858,0.2677376171352075,18,0.6,0.4,0.6072387695312499,0,,,18,0.0,0.5,0.6,0.6,0.6072387695312499,0,,,0.9900099900099899,1.0,1.0
all_sent,norm,200,4,300,226,0.5494662793347004,0.45539820960024696,0.5123427520413938,-0.03712352729330659,-0.07157389404091812,0.0013215757306674612,-0.03322630939912524,0.0,-0.5,0,111,189,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4220204765753735,0.37142857142857133,0.5304351971018638,0.38215222782760294,0.33333333333333337,0.4035940702607369,0.39808246431847577,0.3047619047619048,0.48929882263215596,0.972027972027972,-0.10460868968446359,-0.12841052049653945,0.2677376171352075,18,0.5294117647058824,0.47058823529411764,1.0,0,,,18,0.0,0.5,0.5294117647058824,0.5294117647058824,1.0,0,,,0.9900099900099899,1.0,1.0
