run_id,task_id,agent_id,model_id,label,seg,proj,N,d,H,C,fisher,n_steps,n_frag,total_chars,mean_frag_len,n_tool_calls,repeat_ratio
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,cos_step,50,4,0.8418566077491018,0.19931933653795386,0.23967705816894702,3,50,2494,49.88,2,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,cos_task,50,3,0.9820128490813617,0.01778830738463066,0.0161005278180119,3,50,2494,49.88,2,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,cos_task,50,4,0.9301288886814006,0.09513947127481052,0.20853588069248702,3,50,2494,49.88,2,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,pca1,50,3,0.9441936768329826,0.053209486012301535,0.06368625242084079,3,50,2494,49.88,2,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,pca1,50,4,0.8767175838254114,0.16407458476653988,0.33046434337867897,3,50,2494,49.88,2,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,norm,50,3,0.9154188895975147,0.07395844637849261,0.05918930537416141,3,50,2494,49.88,2,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,norm,50,4,0.8418566077491018,0.19931933653795386,0.23967705816894702,3,50,2494,49.88,2,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,cos_step,100,3,0.9853945517971651,0.013694842682834453,0.009091764084188086,7,100,5346,53.46,6,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,cos_step,100,4,0.9628006709496064,0.04574731479718732,0.045199600361895215,7,100,5346,53.46,6,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,cos_task,100,3,0.9850070232967153,0.015043186251491508,0.011824452633962437,7,100,5346,53.46,6,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,cos_task,100,4,0.9580065609893375,0.05887707079576939,0.08083713225421453,7,100,5346,53.46,6,0.0
