run_id,label,seg,proj,N,lb_p,rho_with_cos_step
20250822_mini-v1.9.1_glm-4.5/django__django-11133,0,reason_sent,cos_step,200,0.04659862927975115,
20250822_mini-v1.9.1_glm-4.5/django__django-11133,0,reason_sent,cos_task,200,0.00039003844742524117,0.03231900516361389
20250822_mini-v1.9.1_glm-4.5/django__django-11133,0,reason_sent,pca1,200,0.07142487719826623,-0.16580895851735086
20250822_mini-v1.9.1_glm-4.5/django__django-11133,0,reason_sent,norm,200,0.08597833497333648,0.999351206132168
20250822_mini-v1.9.1_glm-4.5/django__django-11265,1,reason_sent,cos_step,200,0.060367992730289026,
20250822_mini-v1.9.1_glm-4.5/django__django-11265,1,reason_sent,cos_task,200,0.01859628701971131,-0.07535720808465736
20250822_mini-v1.9.1_glm-4.5/django__django-11265,1,reason_sent,pca1,200,0.8865992932738738,-0.14096570021223193
20250822_mini-v1.9.1_glm-4.5/django__django-11265,1,reason_sent,norm,200,0.05470855195289229,0.9958170504338762
20250822_mini-v1.9.1_glm-4.5/django__django-12193,1,reason_sent,cos_step,200,0.000534773853724103,
20250822_mini-v1.9.1_glm-4.5/django__django-12193,1,reason_sent,cos_task,200,0.03219465029413464,0.013809595031864085
20250822_mini-v1.9.1_glm-4.5/django__django-12193,1,reason_sent,pca1,200,0.12234468925948862,-0.03831880450469643
20250822_mini-v1.9.1_glm-4.5/django__django-12193,1,reason_sent,norm,200,0.00036952066253356986,0.9991315668590679
20250822_mini-v1.9.1_glm-4.5/django__django-12273,1,reason_sent,cos_step,200,0.008401450088432152,
20250822_mini-v1.9.1_glm-4.5/django__django-12273,1,reason_sent,cos_task,200,0.3189469339459276,-0.030730395901133672
20250822_mini-v1.9.1_glm-4.5/django__django-12273,1,reason_sent,pca1,200,0.11479386488418131,-0.11689014156395404
20250822_mini-v1.9.1_glm-4.5/django__django-12273,1,reason_sent,norm,200,0.009315274810541436,1.0
20250822_mini-v1.9.1_glm-4.5/django__django-13401,0,reason_sent,cos_step,200,0.2640279260195047,
20250822_mini-v1.9.1_glm-4.5/django__django-13401,0,reason_sent,cos_task,200,0.09641850587685984,-0.04497107627360804
20250822_mini-v1.9.1_glm-4.5/django__django-13401,0,reason_sent,pca1,200,0.5118837152858882,0.018442012570685867
20250822_mini-v1.9.1_glm-4.5/django__django-13401,0,reason_sent,norm,200,0.5657224754114444,0.9988500477496728
20250822_mini-v1.9.1_glm-4.5/django__django-13925,1,reason_sent,cos_step,200,0.008731424032899896,
20250822_mini-v1.9.1_glm-4.5/django__django-13925,1,reason_sent,cos_task,200,0.002411529565934739,0.24276337660705397
20250822_mini-v1.9.1_glm-4.5/django__django-13925,1,reason_sent,pca1,200,0.0017641742290299923,-0.17847205356218376
20250822_mini-v1.9.1_glm-4.5/django__django-13925,1,reason_sent,norm,200,0.006716657925782745,0.999990852438397
20250822_mini-v1.9.1_glm-4.5/django__django-13933,0,reason_sent,cos_step,200,0.008083426097979506,
20250822_mini-v1.9.1_glm-4.5/django__django-13933,0,reason_sent,cos_task,200,0.7005912758320729,-0.1009993633555469
20250822_mini-v1.9.1_glm-4.5/django__django-13933,0,reason_sent,pca1,200,0.0019794455748833473,0.013639112817159495
20250822_mini-v1.9.1_glm-4.5/django__django-13933,0,reason_sent,norm,200,0.002173176299362772,0.9960101833288758
20250822_mini-v1.9.1_glm-4.5/django__django-14311,0,reason_sent,cos_step,200,1.1087731079180769e-05,
20250822_mini-v1.9.1_glm-4.5/django__django-14311,0,reason_sent,cos_task,200,0.35992234387510025,0.21668051171840988
20250822_mini-v1.9.1_glm-4.5/django__django-14311,0,reason_sent,pca1,200,0.001307360865114333,-0.1742486597936527
20250822_mini-v1.9.1_glm-4.5/django__django-14311,0,reason_sent,norm,200,0.0001210731092399868,0.9999984772219047
20250822_mini-v1.9.1_glm-4.5/django__django-15022,0,reason_sent,cos_step,200,0.029966770975631992,
20250822_mini-v1.9.1_glm-4.5/django__django-15022,0,reason_sent,cos_task,200,0.017310912571088122,0.14237106755875253
20250822_mini-v1.9.1_glm-4.5/django__django-15022,0,reason_sent,pca1,200,0.2178118386190808,-0.049641403991552945
20250822_mini-v1.9.1_glm-4.5/django__django-15022,0,reason_sent,norm,200,0.09702808632148609,1.0
20250822_mini-v1.9.1_glm-4.5/django__django-15554,1,reason_sent,cos_step,200,0.0277657867896961,
20250822_mini-v1.9.1_glm-4.5/django__django-15554,1,reason_sent,cos_task,200,0.2515008688248472,0.07502576905321787
