seg,proj,d,N,population,n,frac_seen_median,auroc_base,auroc_chaos,auroc_full
reason_sent,cos_task,3,50,все допустимые при N,7949,0.13157894736842105,0.5247988948350146,0.5118681117665044,0.5245605857933804
reason_sent,cos_task,3,50,фиксированная (≥400 фрагм.),3776,0.07047219849420927,0.5791474216761052,0.487695344156711,0.5766326226600892
reason_sent,cos_task,3,100,все допустимые при N,7837,0.25906735751295334,0.5317415589461131,0.518555170923513,0.5308696216077021
reason_sent,cos_task,3,100,фиксированная (≥400 фрагм.),3776,0.14094439698841854,0.5877217654129868,0.5263401583492269,0.590546458949747
reason_sent,cos_task,3,200,все допустимые при N,6673,0.4424778761061947,0.523137981098517,0.5262870664373062,0.5270667221545122
reason_sent,cos_task,3,200,фиксированная (≥400 фрагм.),3776,0.2818887939768371,0.584918252581447,0.5331592797384583,0.5903186607851423
reason_sent,cos_task,3,400,все допустимые при N,3776,0.5637775879536742,0.5824092892813019,0.5457509522328806,0.5870100138432427
reason_sent,cos_task,3,400,фиксированная (≥400 фрагм.),3776,0.5637775879536742,0.5824092892813019,0.5457509522328806,0.5870100138432427
reason_sent,cos_task,4,50,все допустимые при N,7949,0.13157894736842105,0.5247988948350146,0.5201750672858244,0.5299240700552096
reason_sent,cos_task,4,50,фиксированная (≥400 фрагм.),3776,0.07047219849420927,0.5791474216761052,0.5122325626388775,0.5788884040728807
reason_sent,cos_task,4,100,все допустимые при N,7837,0.25906735751295334,0.5317415589461131,0.5276428720098946,0.5340175385994861
reason_sent,cos_task,4,100,фиксированная (≥400 фрагм.),3776,0.14094439698841854,0.5877217654129868,0.5387904167567217,0.593475551679228
reason_sent,cos_task,4,200,все допустимые при N,6673,0.4424778761061947,0.523137981098517,0.5337229397589545,0.5338958046231144
reason_sent,cos_task,4,200,фиксированная (≥400 фрагм.),3776,0.2818887939768371,0.584918252581447,0.5386766000972395,0.5914545665864142
reason_sent,cos_task,4,400,все допустимые при N,3776,0.5637775879536742,0.5824092892813019,0.5569918847275699,0.5905729590305315
reason_sent,cos_task,4,400,фиксированная (≥400 фрагм.),3776,0.5637775879536742,0.5824092892813019,0.5569918847275699,0.5905729590305315
reason_sent,norm,3,50,все допустимые при N,7949,0.13157894736842105,0.5247988948350146,0.4979453811594524,0.5216832279528989
reason_sent,norm,3,50,фиксированная (≥400 фрагм.),3776,0.07047219849420927,0.5791474216761052,0.49552383670352196,0.5783631946650155
reason_sent,norm,3,100,все допустимые при N,7837,0.25906735751295334,0.5317415589461131,0.5086197445605962,0.5271069181170513
reason_sent,norm,3,100,фиксированная (≥400 фрагм.),3776,0.14094439698841854,0.5877217654129868,0.5120237742276368,0.5872500266590222
reason_sent,norm,3,200,все допустимые при N,6673,0.4424778761061947,0.523137981098517,0.5236653819671109,0.5299313095077695
reason_sent,norm,3,200,фиксированная (≥400 фрагм.),3776,0.2818887939768371,0.584918252581447,0.5253541948213563,0.5888985476127511
reason_sent,norm,3,400,все допустимые при N,3776,0.5637775879536742,0.5824092892813019,0.5227798896293463,0.5886758085856421
reason_sent,norm,3,400,фиксированная (≥400 фрагм.),3776,0.5637775879536742,0.5824092892813019,0.5227798896293463,0.5886758085856421
reason_sent,norm,4,50,все допустимые при N,7949,0.13157894736842105,0.5247988948350146,0.4894963097827768,0.5181664547025995
reason_sent,norm,4,50,фиксированная (≥400 фрагм.),3776,0.07047219849420927,0.5791474216761052,0.49414047918250426,0.5761194656025603
reason_sent,norm,4,100,все допустимые при N,7837,0.25906735751295334,0.5317415589461131,0.5195774675116932,0.530123696089176
reason_sent,norm,4,100,фиксированная (≥400 фрагм.),3776,0.14094439698841854,0.5877217654129868,0.528232093512152,0.5879718080569544
reason_sent,norm,4,200,все допустимые при N,6673,0.4424778761061947,0.523137981098517,0.5366116356403493,0.5367041031644196
reason_sent,norm,4,200,фиксированная (≥400 фрагм.),3776,0.2818887939768371,0.584918252581447,0.5347585269773576,0.5908654688722332
reason_sent,norm,4,400,все допустимые при N,3776,0.5637775879536742,0.5824092892813019,0.5324513879293129,0.5895371447074802
reason_sent,norm,4,400,фиксированная (≥400 фрагм.),3776,0.5637775879536742,0.5824092892813019,0.5324513879293129,0.5895371447074802
reason_sent,pca1,3,50,все допустимые при N,7949,0.13157894736842105,0.5247988948350146,0.5259444276513364,0.5362135659002523
reason_sent,pca1,3,50,фиксированная (≥400 фрагм.),3776,0.07047219849420927,0.5791474216761052,0.5440694031142875,0.5869441147414878
reason_sent,pca1,3,100,все допустимые при N,7837,0.25906735751295334,0.5317415589461131,0.5272175616598493,0.5347362525284514
reason_sent,pca1,3,100,фиксированная (≥400 фрагм.),3776,0.14094439698841854,0.5877217654129868,0.5505125819771497,0.5992814458940862
reason_sent,pca1,3,200,все допустимые при N,6673,0.4424778761061947,0.523137981098517,0.5399930508648259,0.5343630628195457
reason_sent,pca1,3,200,фиксированная (≥400 фрагм.),3776,0.2818887939768371,0.584918252581447,0.5663272209311808,0.6000342717943316
reason_sent,pca1,3,400,все допустимые при N,3776,0.5637775879536742,0.5824092892813019,0.5726880534614366,0.5921438325300039
reason_sent,pca1,3,400,фиксированная (≥400 фрагм.),3776,0.5637775879536742,0.5824092892813019,0.5726880534614366,0.5921438325300039
reason_sent,pca1,4,50,все допустимые при N,7949,0.13157894736842105,0.5247988948350146,0.5369507791366696,0.5462809959723345
reason_sent,pca1,4,50,фиксированная (≥400 фрагм.),3776,0.07047219849420927,0.5791474216761052,0.5517478918274437,0.5912049247950554
reason_sent,pca1,4,100,все допустимые при N,7837,0.25906735751295334,0.5317415589461131,0.5435102069750984,0.5452792401536838
reason_sent,pca1,4,100,фиксированная (≥400 фрагм.),3776,0.14094439698841854,0.5877217654129868,0.5748286989441597,0.6066560579921111
reason_sent,pca1,4,200,все допустимые при N,6673,0.4424778761061947,0.523137981098517,0.5514865190289762,0.5469267865087388
reason_sent,pca1,4,200,фиксированная (≥400 фрагм.),3776,0.2818887939768371,0.584918252581447,0.5806111629567976,0.6039069072224762
reason_sent,pca1,4,400,все допустимые при N,3776,0.5637775879536742,0.5824092892813019,0.5861905014085806,0.5975579000531888
reason_sent,pca1,4,400,фиксированная (≥400 фрагм.),3776,0.5637775879536742,0.5824092892813019,0.5861905014085806,0.5975579000531888
